IV,Model,Wave,n_train,DV_Type,RMSE,IV-Model,Wave_Label
Task Space,OLS,Wave 1a,30,strong,0.25642001097488804,Task Space-OLS,5
Task Space,OLS,Wave 1a,30,weak,0.7176448891275077,Task Space-OLS,5
Task Space,OLS,Wave 1,60,strong,0.25019084110009104,Task Space-OLS,10
Task Space,OLS,Wave 1,60,weak,0.5374456886820574,Task Space-OLS,10
Task Space,OLS,Wave 2,90,strong,0.30406880271142134,Task Space-OLS,15
Task Space,OLS,Wave 2,90,weak,0.6083485551572924,Task Space-OLS,15
Task Space,E-Net,Wave 1a,30,strong,0.3035480228208887,Task Space-E-Net,5
Task Space,E-Net,Wave 1a,30,weak,0.8729663954176482,Task Space-E-Net,5
Task Space,E-Net,Wave 1,60,strong,0.2564198174335036,Task Space-E-Net,10
Task Space,E-Net,Wave 1,60,weak,0.7407127609651435,Task Space-E-Net,10
Task Space,E-Net,Wave 2,90,strong,0.27946634718904967,Task Space-E-Net,15
Task Space,E-Net,Wave 2,90,weak,0.5824080353036074,Task Space-E-Net,15
McGrath Categorical,OLS,Wave 1a,30,strong,0.31696273170351535,McGrath Categorical-OLS,5
McGrath Categorical,OLS,Wave 1a,30,weak,0.8854042909801363,McGrath Categorical-OLS,5
McGrath Categorical,OLS,Wave 1,60,strong,0.37343691658067846,McGrath Categorical-OLS,10
McGrath Categorical,OLS,Wave 1,60,weak,0.767611644256293,McGrath Categorical-OLS,10
McGrath Categorical,OLS,Wave 2,90,strong,0.37613375933775167,McGrath Categorical-OLS,15
McGrath Categorical,OLS,Wave 2,90,weak,0.7293761437445409,McGrath Categorical-OLS,15
McGrath Categorical,E-Net,Wave 1a,30,strong,0.31219780139766723,McGrath Categorical-E-Net,5
McGrath Categorical,E-Net,Wave 1a,30,weak,0.8729663954176482,McGrath Categorical-E-Net,5
McGrath Categorical,E-Net,Wave 1,60,strong,0.3783592360771375,McGrath Categorical-E-Net,10
McGrath Categorical,E-Net,Wave 1,60,weak,0.7407127609651435,McGrath Categorical-E-Net,10
McGrath Categorical,E-Net,Wave 2,90,strong,0.37313389387226187,McGrath Categorical-E-Net,15
McGrath Categorical,E-Net,Wave 2,90,weak,0.7656655508535616,McGrath Categorical-E-Net,15
McGrath Subspace,OLS,Wave 1a,30,strong,0.27872220631444056,McGrath Subspace-OLS,5
McGrath Subspace,OLS,Wave 1a,30,weak,0.762619395503504,McGrath Subspace-OLS,5
McGrath Subspace,OLS,Wave 1,60,strong,0.2864828735157032,McGrath Subspace-OLS,10
McGrath Subspace,OLS,Wave 1,60,weak,0.9479082508883581,McGrath Subspace-OLS,10
McGrath Subspace,OLS,Wave 2,90,strong,0.32598086644335866,McGrath Subspace-OLS,15
McGrath Subspace,OLS,Wave 2,90,weak,0.7433181544681942,McGrath Subspace-OLS,15
McGrath Subspace,E-Net,Wave 1a,30,strong,0.31002374221061874,McGrath Subspace-E-Net,5
McGrath Subspace,E-Net,Wave 1a,30,weak,0.8729663954176482,McGrath Subspace-E-Net,5
McGrath Subspace,E-Net,Wave 1,60,strong,0.30169541868738525,McGrath Subspace-E-Net,10
McGrath Subspace,E-Net,Wave 1,60,weak,0.7563257991522173,McGrath Subspace-E-Net,10
McGrath Subspace,E-Net,Wave 2,90,strong,0.30687738206036475,McGrath Subspace-E-Net,15
McGrath Subspace,E-Net,Wave 2,90,weak,0.8137332231519451,McGrath Subspace-E-Net,15
Steiner Subspace,OLS,Wave 1a,30,strong,0.4776629779037482,Steiner Subspace-OLS,5
Steiner Subspace,OLS,Wave 1a,30,weak,0.6995388213687418,Steiner Subspace-OLS,5
Steiner Subspace,OLS,Wave 1,60,strong,0.3440368375727489,Steiner Subspace-OLS,10
Steiner Subspace,OLS,Wave 1,60,weak,0.723538454860153,Steiner Subspace-OLS,10
Steiner Subspace,OLS,Wave 2,90,strong,0.346721219158628,Steiner Subspace-OLS,15
Steiner Subspace,OLS,Wave 2,90,weak,0.7018432793321268,Steiner Subspace-OLS,15
Steiner Subspace,E-Net,Wave 1a,30,strong,0.3434088183790031,Steiner Subspace-E-Net,5
Steiner Subspace,E-Net,Wave 1a,30,weak,0.7484599907872506,Steiner Subspace-E-Net,5
Steiner Subspace,E-Net,Wave 1,60,strong,0.3280656214489695,Steiner Subspace-E-Net,10
Steiner Subspace,E-Net,Wave 1,60,weak,0.6225663699363906,Steiner Subspace-E-Net,10
Steiner Subspace,E-Net,Wave 2,90,strong,0.33221624368595715,Steiner Subspace-E-Net,15
Steiner Subspace,E-Net,Wave 2,90,weak,0.703531682073309,Steiner Subspace-E-Net,15
Laughlin Subspace,OLS,Wave 1a,30,strong,0.2883606103108692,Laughlin Subspace-OLS,5
Laughlin Subspace,OLS,Wave 1a,30,weak,0.8952038695396835,Laughlin Subspace-OLS,5
Laughlin Subspace,OLS,Wave 1,60,strong,0.38696447823315794,Laughlin Subspace-OLS,10
Laughlin Subspace,OLS,Wave 1,60,weak,1.0878365271764858,Laughlin Subspace-OLS,10
Laughlin Subspace,OLS,Wave 2,90,strong,0.3432533638675996,Laughlin Subspace-OLS,15
Laughlin Subspace,OLS,Wave 2,90,weak,0.835034009258419,Laughlin Subspace-OLS,15
Laughlin Subspace,E-Net,Wave 1a,30,strong,0.2951172964776415,Laughlin Subspace-E-Net,5
Laughlin Subspace,E-Net,Wave 1a,30,weak,0.8866673485875697,Laughlin Subspace-E-Net,5
Laughlin Subspace,E-Net,Wave 1,60,strong,0.3033810779983842,Laughlin Subspace-E-Net,10
Laughlin Subspace,E-Net,Wave 1,60,weak,0.7407127609651435,Laughlin Subspace-E-Net,10
Laughlin Subspace,E-Net,Wave 2,90,strong,0.31430976110468184,Laughlin Subspace-E-Net,15
Laughlin Subspace,E-Net,Wave 2,90,weak,0.7617549714455032,Laughlin Subspace-E-Net,15
